President,Year,Syntactic_Complexity_Score
Abraham Lincoln,1862,1.243445455
Abraham Lincoln,1861,1.488209091
Abraham Lincoln,1864,1.389872727
Abraham Lincoln,1863,1.482209091
Andrew Jackson,1834,1.816518182
Andrew Jackson,1833,1.776872727
Andrew Jackson,1832,1.669072727
Andrew Jackson,1830,1.748145455
Andrew Jackson,1831,1.889254545
Andrew Jackson,1836,1.814881818
Andrew Jackson,1829,1.625854545
Andrew Jackson,1835,1.868054545
Andrew Johnson,1866,1.515827273
Andrew Johnson,1867,1.481
Andrew Johnson,1865,1.441
Andrew Johnson,1868,1.513909091
Barack Obama,2013,1.172636364
Barack Obama,2009,1.239463636
Barack Obama,2016,1.152827273
Barack Obama,2015,1.169390909
Barack Obama,2012,1.091027273
Barack Obama,2011,1.114081818
Barack Obama,2010,1.141063636
Barack Obama,2014,1.129072727
Benjamin Harrison,1890,1.475981818
Benjamin Harrison,1889,1.447090909
Benjamin Harrison,1892,1.494027273
Benjamin Harrison,1891,1.611418182
Calvin Coolidge,1924,1.325854545
Calvin Coolidge,1928,1.179054545
Calvin Coolidge,1923,1.060290909
Calvin Coolidge,1927,1.090545455
Calvin Coolidge,1926,1.287245455
Calvin Coolidge,1925,1.222672727
Chester A. Arthur,1884,1.545018182
Chester A. Arthur,1882,1.456727273
Chester A. Arthur,1883,1.4383
Chester A. Arthur,1881,1.479081818
Donald Trump,2019,0.794254545
Donald Trump,2017,1.009445455
Donald Trump,2018,0.947327273
Dwight D. Eisenhower,1956,1.162881818
Dwight D. Eisenhower,1955,1.151790909
Dwight D. Eisenhower,1954,1.156372727
Dwight D. Eisenhower,1960,1.242745455
Dwight D. Eisenhower,1958,1.140527273
Dwight D. Eisenhower,1959,1.108909091
Dwight D. Eisenhower,1957,1.247845455
Dwight D. Eisenhower,1961,1.149481818
Franklin D. Roosevelt,1934,1.547627273
Franklin D. Roosevelt,1936,1.313145455
Franklin D. Roosevelt,1938,1.465163636
Franklin D. Roosevelt,1940,1.502063636
Franklin D. Roosevelt,1935,1.352290909
Franklin D. Roosevelt,1939,1.264309091
Franklin D. Roosevelt,1937,1.470963636
Franklin D. Roosevelt,1941,1.259690909
Franklin D. Roosevelt,1942,1.144890909
Franklin D. Roosevelt,1945,1.302872727
Franklin D. Roosevelt,1943,1.242027273
Franklin D. Roosevelt,1944,1.306127273
Franklin Pierce,1856,1.773881818
Franklin Pierce,1854,1.638018182
Franklin Pierce,1853,1.825636364
Franklin Pierce,1855,1.8888
George Bush,1989,0.942672727
George Bush,1992,0.977163636
George Bush,1991,1.032490909
George Bush,1990,1.1371
George W. Bush,2005,1.118227273
George W. Bush,2001,0.923127273
George W. Bush,2004,1.037609091
George W. Bush,2007,1.047581818
George W. Bush,2003,1.023345455
George W. Bush,2008,1.070409091
George W. Bush,2002,1.030263636
George W. Bush,2006,1.043745455
George Washington,1793,1.625090909
George Washington,1796,1.748918182
George Washington,1790,1.763827273
George Washington,1795,1.962581818
George Washington,1792,1.708972727
George Washington,1794,1.732790909
George Washington,1791,1.784118182
Gerald Ford,1977,1.178727273
